epoch,accuracy,loss,val_accuracy,val_loss
0,0.04800582677125931,3.190288543701172,0.03234802186489105,3.1880252361297607
1,0.09863413125276566,2.99025821685791,0.09369771182537079,2.9664087295532227
2,0.16423237323760986,2.687208652496338,0.09662576764822006,2.7387452125549316
3,0.22225460410118103,2.4511160850524902,0.17944785952568054,2.379880905151367
4,0.2721180021762848,2.2395851612091064,0.31274399161338806,2.0336549282073975
5,0.3303951919078827,2.0376627445220947,0.34397658705711365,1.8711045980453491
6,0.3811691999435425,1.8622146844863892,0.40909090638160706,1.6155245304107666
7,0.4351848363876343,1.6808685064315796,0.5223090052604675,1.3182843923568726
8,0.4807139039039612,1.5201892852783203,0.6238148212432861,1.0610301494598389
9,0.5191768407821655,1.4011318683624268,0.7046849131584167,0.8363989591598511
10,0.5631760954856873,1.2733511924743652,0.7558560967445374,0.6928053498268127
11,0.60029137134552,1.1634538173675537,0.7527886033058167,0.7084136009216309
12,0.6309597492218018,1.059846043586731,0.7713329792022705,0.6365568041801453
13,0.6556547284126282,0.9950592517852783,0.8238984942436218,0.5167136788368225
14,0.6792569756507874,0.922881543636322,0.8347741365432739,0.4236461818218231
15,0.7067565321922302,0.8474657535552979,0.844394862651825,0.4155808091163635
16,0.7208523154258728,0.7928150296211243,0.8853875994682312,0.33697202801704407
17,0.7397559881210327,0.7491368651390076,0.8937534689903259,0.3188239336013794
18,0.7562192678451538,0.6958650946617126,0.9235917329788208,0.23924116790294647
19,0.7720269560813904,0.6526254415512085,0.9120189547538757,0.25192710757255554
20,0.778801679611206,0.629266619682312,0.9301450252532959,0.21476145088672638
21,0.7980695962905884,0.5748420357704163,0.9459007382392883,0.17797838151454926
22,0.8071025609970093,0.5470934510231018,0.952314555644989,0.17090465128421783
23,0.8205791115760803,0.519357442855835,0.9419966340065002,0.16290652751922607
24,0.8281915783882141,0.49430277943611145,0.957612931728363,0.1296014040708542
25,0.8395920395851135,0.4688481390476227,0.9630507826805115,0.11224732547998428
26,0.846949577331543,0.4388466775417328,0.9651421904563904,0.10805560648441315
27,0.8553268909454346,0.4158113896846771,0.964584469795227,0.10523325204849243
28,0.8624294400215149,0.4003876745700836,0.9634690284729004,0.09723526984453201
29,0.8715352416038513,0.3695949912071228,0.9729503393173218,0.08463098853826523
30,0.8770715594291687,0.35832124948501587,0.9854991436004639,0.07314112037420273
31,0.8819522857666016,0.342791885137558,0.9874511957168579,0.060006335377693176
32,0.8883263468742371,0.323470801115036,0.9832682609558105,0.055616848170757294
33,0.8944090604782104,0.30811893939971924,0.9800613522529602,0.06136823818087578
34,0.8978328108787537,0.2975534498691559,0.9951199293136597,0.03936576843261719
35,0.9022764563560486,0.28826355934143066,0.992052435874939,0.03905339911580086
36,0.9069021940231323,0.27206283807754517,0.9942833185195923,0.029851334169507027
37,0.9101802706718445,0.26303696632385254,0.9912158250808716,0.03107381798326969
38,0.9151338338851929,0.24600471556186676,0.9916341304779053,0.03591340780258179
39,0.9200509786605835,0.23559336364269257,0.9959564805030823,0.026131100952625275
40,0.9237297177314758,0.22656479477882385,0.9906581044197083,0.03477470204234123
41,0.9248588681221008,0.22011978924274445,0.998047947883606,0.014317025430500507
42,0.9262065291404724,0.21506917476654053,0.99665367603302,0.017755506560206413
43,0.9311965107917786,0.2043444663286209,0.99665367603302,0.013061625882983208
